wojewodztwo;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;B1;B2;B3;B4;B5;B6;P1;P2;P3;P4;P5;P6;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10
£ÓDZKIE;25,23;386,12;65,17;3,1;933,43;66,57;65,26;48,88;20,95;14,36;6,7;7,5;5,3;21,1;3,1;33,3;53,02;8,64;33,76;21,48;748,24;50,51;25,57;30;44,42;5,97;6,9;3,1;17,24;1,33;108,18;14,84;316,53;187,73;94,88;33,93
MAZOWIECKIE;11,38;314,37;77,36;7,2;940,08;59,92;65,57;39,76;22,07;19,47;6;5,8;6,4;17,4;3;40,8;52,6;9;30,58;15,62;814,9;50,54;18,01;20,69;61,3;14,1;5,7;3,7;13,12;1,25;153,9;23,24;330,36;149,12;139,21;42,03
MA£OPOLSKIE;21,31;348,72;82,39;4,4;938,92;61,79;50,61;37,39;19,74;12,14;6,2;6,2;6,2;19,3;2,6;34,1;58,99;10,09;22,67;19,25;789,04;49,2;21,21;27,25;51,54;7,7;5,6;2,7;13,77;4,34;156,86;22,01;441,85;247,92;131,15;62,78
ŒL¥SKIE;17,95;389,74;123,59;4,3;933,85;65,64;78,68;38,76;20,31;9,32;6,6;6,9;5,1;15,2;2,1;30;59,53;9,85;29,89;62,62;944,97;44,79;5,52;42,46;52,02;6,84;9,3;4,7;24,37;6,65;467,72;94,69;1060,9;603,84;326,24;130,83
LUBELSKIE;24,07;327,78;66,67;4,8;912,04;87,96;47,34;44,07;24,17;15,02;8,8;10,7;7;21,5;4,5;39,9;53,14;11,19;26,65;5,6;571,64;50,69;43,32;17,67;39,01;6,39;4,9;3,6;10,57;4,63;93,95;7,25;309,33;226,69;49,99;32,65
PODKARPACKIE;21,03;290,22;89,38;2,9;917,98;82,02;41,9;37,85;22,92;11,66;8,2;9,5;7,2;26,5;5,2;39,9;55,48;9,17;24,37;5,69;727,91;45,61;27,65;29,28;43,08;5,84;6,2;4,1;14,59;2,25;131,88;16,32;491,24;327,23;94,66;69,34
PODLASKIE;20,72;406,78;60,26;4,7;935,97;64,03;60,17;38,96;21,47;7,69;6,4;7,2;5,2;23;3,2;32,6;50,4;10,03;30,98;5,94;606,46;51,05;39,83;19,24;40,93;5,3;6,3;4,8;15,59;3,9;60,84;2,31;241,31;151,08;58,93;31,3
ŒWIÊTOKRZYSKIE;27,82;343,12;71,1;3,9;911,9;88,1;46,2;41,97;22,1;8,33;8,8;10,5;7,5;24,9;6;43,2;54,9;10,42;24,63;5,62;620,3;47,71;38,24;23,29;38,47;5,8;5,7;2,8;13,61;3,56;87,66;18,06;408,48;291,95;70,48;46,05
LUBUSKIE;15,73;332,58;103,37;4;934,83;65,17;64,5;39,94;21,57;3,42;6,5;6,8;6;22,5;3,3;26,8;56,01;6,04;33,32;19,41;907,25;49,67;10,93;36,49;52,58;9,46;10,3;3,8;26,32;2,56;178,33;24,73;677,65;402,08;145,84;129,73
WIELKOPOLSKIE;26,77;325,62;99,13;4,1;939,22;60,78;57,5;32,91;18,74;10,65;6,1;6;6,2;20,6;1,7;26,9;61,86;8,75;27,62;19,3;815,49;46,68;20,26;34,27;45,47;7,63;9;3,5;22,28;3,64;244,7;31,38;718,75;412,48;210,61;95,66
ZACHODNIOPOMORSKIE;28,8;385,6;118,4;5,5;905,6;96;69,82;37,33;23,04;5,74;9,6;8,3;12,2;13,6;4,1;30,6;58,03;6,63;37,15;12,97;906,25;50,32;11,8;30,21;57,99;7,76;9,2;4,1;26,4;3,53;276,11;47,15;755,47;487,96;191,82;75,69
DOLNOŒL¥SKIE;22,94;370,25;111,55;5;908,23;90,98;71,28;40,88;22,78;10,13;9,1;8,5;10,8;21,3;3;29,2;55,65;7,42;33,48;40,62;913,36;48,35;9,48;35,15;55,37;10,31;10,5;4,4;27,43;4,61;276,14;72,42;731,23;444,54;206,28;80,41
OPOLSKIE;14,56;436,89;111,65;5,1;934,47;65,53;52,82;38,64;22,82;3,21;6,6;5,5;7,5;19,1;2,6;26,5;58,37;7,35;34,33;51,26;825,24;47,01;19,86;32,47;47,67;5,84;8,4;5,9;24,23;2,06;365;50,12;780;393,83;318,36;67,81
KUJAWSKO-POMORSKIE;28,54;357,32;94,29;4,3;909,43;90,57;62,09;35,52;20,72;8,47;9,1;9;9,5;18,5;4,7;35,2;59,83;5,45;34,75;9,35;798,53;47,94;21,25;31,95;46,8;6,07;8,1;2,8;21,13;2,3;141,63;23,69;509,77;312,23;120,3;77,24
POMORSKIE;11,89;331,75;137,93;4,5;945,3;54,7;68;35,03;23,31;6,88;5,5;5,1;6,7;17,6;2,4;28,1;62,42;7,22;30,81;31,55;900,69;48,54;10,84;32,79;56,37;8,55;8,8;3,5;22,33;1,99;202,45;27,58;625,67;389,12;164,82;71,72
WARMIÑSKO-MAZURSKIE;24,83;374,17;100,99;4,4;925,5;74,5;61,07;39,5;21,69;7,56;7,5;7;7,8;15,6;5,3;31,5;56,86;6,17;36,57;3,05;822,87;49,55;19,72;30,86;49,42;5,63;10;4,9;27,39;3,03;166,36;11,39;549,06;312,41;138,14;98,52
